station_name,start_rides,station_lat,station_lng,end_rides,total_activity,net_inflow,abs_net_inflow,imbalance_ratio,imbalance_type
3 Ave & Schermerhorn St,1091,40.68683208,-73.9796772,1130,2221,39,39,0.0175596578117964,net_inflow_accumulation
3 Ave & Wakeman Pl,112,40.638246,-74.024714,115,227,3,3,0.013215859030837,net_inflow_accumulation
3 St & 3 Ave,728,40.6750705,-73.98775226,692,1420,-36,36,-0.0253521126760563,net_outflow_shortage
3 St & 7 Ave,1202,40.6703837,-73.97839676,1282,2484,80,80,0.0322061191626409,net_inflow_accumulation
3 St & Hoyt St,453,40.6777287,-73.99364123,436,889,-17,17,-0.0191226096737907,net_outflow_shortage
3 St & Prospect Park West,1675,40.668132,-73.97363831,1970,3645,295,295,0.0809327846364883,net_inflow_accumulation
30 Ave & 12 St,223,40.77171710520828,-73.93159255385399,252,475,29,29,0.0610526315789473,net_inflow_accumulation
30 Ave & 21 St,253,40.7703743,-73.9286078,294,547,41,41,0.0749542961608775,net_inflow_accumulation
30 Ave & 41 St,445,40.763422,-73.914142,577,1022,132,132,0.1291585127201565,net_inflow_accumulation
30 Ave & 47 St,58,40.761294,-73.909562,106,164,48,48,0.2926829268292683,net_inflow_accumulation
30 Ave & 70 St,113,40.76013,-73.89741,145,258,32,32,0.1240310077519379,net_inflow_accumulation
30 Ave & 80 St,69,40.76109,-73.88838,106,175,37,37,0.2114285714285714,net_inflow_accumulation
30 Ave & 96 St,36,40.76086,-73.87308,59,95,23,23,0.2421052631578947,net_inflow_accumulation
30 St & 4 Ave,226,40.657743,-74.001141,188,414,-38,38,-0.0917874396135265,net_outflow_shortage
30 St & 48 Ave,167,40.7413272,-73.937999,25,192,-142,142,-0.7395833333333334,net_outflow_shortage
31 Ave & 103 St,35,40.76134,-73.86666,47,82,12,12,0.1463414634146341,net_inflow_accumulation
31 Ave & 14 St,395,40.7682,-73.9322662,478,873,83,83,0.0950744558991981,net_inflow_accumulation
31 Ave & 30 St,481,40.7647,-73.9240312,461,942,-20,20,-0.0212314225053078,net_outflow_shortage
31 Ave & 34 St,679,40.763154,-73.920827,810,1489,131,131,0.0879785090664875,net_inflow_accumulation
31 Ave & 57 St,109,40.757357,-73.904726,157,266,48,48,0.1804511278195488,net_inflow_accumulation
31 Ave & 61 St,66,40.757525,-73.901614,111,177,45,45,0.2542372881355932,net_inflow_accumulation
31 Ave & 84 St,51,40.75947,-73.88431,72,123,21,21,0.1707317073170731,net_inflow_accumulation
31 Ave & 86 St,91,40.75958,-73.88219,119,210,28,28,0.1333333333333333,net_inflow_accumulation
31 Ave & Crescent St,485,40.7658346,-73.9265474,597,1082,112,112,0.1035120147874306,net_inflow_accumulation
31 Ave & Steinway St,863,40.7611488,-73.9170071,955,1818,92,92,0.0506050605060506,net_inflow_accumulation
31 Pl & Hunters Point Ave,162,40.74021356884924,-73.93537044525146,21,183,-141,141,-0.7704918032786885,net_outflow_shortage
31 St & 21 Ave,384,40.77813,-73.90842,338,722,-46,46,-0.0637119113573407,net_outflow_shortage
31 St & Astoria Blvd,586,40.7699176,-73.9184057,493,1079,-93,93,-0.0861909175162187,net_outflow_shortage
31 St & Broadway,1449,40.76211,-73.92523,1334,2783,-115,115,-0.0413223140495867,net_outflow_shortage
31 St & Ditmars Blvd,1296,40.776168,-73.910485,1152,2448,-144,144,-0.0588235294117647,net_outflow_shortage
31 St & Hoyt Ave N,479,40.7711528,-73.9170074,344,823,-135,135,-0.1640340218712029,net_outflow_shortage
31 St & Newtown Ave,1283,40.7675487799971,-73.9209334552288,1083,2366,-200,200,-0.0845308537616229,net_outflow_shortage
31 St & Northern Blvd,617,40.75186951421875,-73.93349289894103,522,1139,-95,95,-0.083406496927129,net_outflow_shortage
31 St & Thomson Ave,195,40.74469738,-73.93540375,113,308,-82,82,-0.2662337662337662,net_outflow_shortage
32 Ave & 75 St,83,40.75704,-73.8924,105,188,22,22,0.1170212765957446,net_inflow_accumulation
32 Ave & 77 St,62,40.75727,-73.89024,90,152,28,28,0.1842105263157894,net_inflow_accumulation
32 Ave & 81 St,118,40.75763,-73.88682,175,293,57,57,0.1945392491467577,net_inflow_accumulation
32 Ave & 84 St,40,40.75793,-73.88401,39,79,-1,1,-0.0126582278481012,net_outflow_shortage
33 St & 47 Ave,137,40.74283,-73.9321,97,234,-40,40,-0.1709401709401709,net_outflow_shortage
33 St & Queens Blvd,256,40.7443653191867,-73.93172398209572,181,437,-75,75,-0.17162471395881,net_outflow_shortage
34 Ave & 108 St,52,40.75614,-73.86084,65,117,13,13,0.1111111111111111,net_inflow_accumulation
34 Ave & 113 St,40,40.75696,-73.85612,69,109,29,29,0.2660550458715596,net_inflow_accumulation
34 Ave & 13 St,136,40.7638753,-73.9364848,116,252,-20,20,-0.0793650793650793,net_outflow_shortage
34 Ave & 21 St,211,40.7628138,-73.9342862,250,461,39,39,0.0845986984815618,net_inflow_accumulation
34 Ave & 38 St,678,40.756913,-73.921631,744,1422,66,66,0.0464135021097046,net_inflow_accumulation
34 Ave & 45 St,248,40.754795,-73.917014,266,514,18,18,0.0350194552529182,net_inflow_accumulation
34 Ave & 48 St,271,40.75388,-73.914952,278,549,7,7,0.0127504553734061,net_inflow_accumulation
34 Ave & 71 St,339,40.75257,-73.89538,373,712,34,34,0.047752808988764,net_inflow_accumulation
34 Ave & 74 St,368,40.75297,-73.89236,399,767,31,31,0.0404172099087353,net_inflow_accumulation
34 Ave & 83 St,321,40.75375,-73.88423,426,747,105,105,0.1405622489959839,net_inflow_accumulation
34 Ave & 89 St,315,40.75437,-73.87833,461,776,146,146,0.1881443298969072,net_inflow_accumulation
34 Ave & Junction Blvd,166,40.75502,-73.87285,220,386,54,54,0.1398963730569948,net_inflow_accumulation
34 St & 35 Ave,412,40.7569332,-73.9262231,450,862,38,38,0.0440835266821345,net_inflow_accumulation
34 St & 38 Ave,334,40.752443,-73.929737,260,594,-74,74,-0.1245791245791245,net_outflow_shortage
34 St & 4 Ave,283,40.655278,-74.003101,223,506,-60,60,-0.1185770750988142,net_outflow_shortage
34 St & 48 Ave,127,40.740821207823245,-73.93147185444832,44,171,-83,83,-0.4853801169590643,net_outflow_shortage
34 St & 5 Ave,89,40.654098,-74.001131,98,187,9,9,0.0481283422459893,net_inflow_accumulation
34th Ave & Vernon Blvd,387,40.76535380385866,-73.93986314535141,375,762,-12,12,-0.0157480314960629,net_outflow_shortage
35 Ave & 10 St,407,40.76315481910373,-73.93985509872437,428,835,21,21,0.0251497005988023,net_inflow_accumulation
35 Ave & 37 St,673,40.7557327,-73.9236611,771,1444,98,98,0.0678670360110803,net_inflow_accumulation
35 St & 21 Ave,158,40.776745,-73.906558,185,343,27,27,0.0787172011661807,net_inflow_accumulation
35 St & 23 Ave,278,40.77301508291382,-73.91119033098221,239,517,-39,39,-0.0754352030947775,net_outflow_shortage
35 St & 30 Ave,605,40.76547569244953,-73.91811579465866,707,1312,102,102,0.0777439024390243,net_inflow_accumulation
35 St & 34 Ave,475,40.7580583,-73.9242751,565,1040,90,90,0.0865384615384615,net_inflow_accumulation
35 St & Broadway,555,40.760339,-73.9222427,619,1174,64,64,0.0545144804088586,net_inflow_accumulation
36 Ave & 10 St,297,40.7614376,-73.9411265,355,652,58,58,0.0889570552147239,net_inflow_accumulation
36 Ave & 31 St,735,40.75651272984955,-73.92957486212252,774,1509,39,39,0.025844930417495,net_inflow_accumulation
36 St & 3 Ave,682,40.655716,-74.006664,399,1081,-283,283,-0.2617946345975948,net_outflow_shortage
36 St & 4 Ave,577,40.654144,-74.00422,431,1008,-146,146,-0.1448412698412698,net_outflow_shortage
36 St & 47 Ave,57,40.74221834996096,-73.92935156822205,36,93,-21,21,-0.2258064516129032,net_outflow_shortage
36 St & Ditmars Blvd,482,40.774306,-73.908335,499,981,17,17,0.0173292558613659,net_inflow_accumulation
36 St & Hunters Point Ave,91,40.73781699881193,-73.93024072051048,50,141,-41,41,-0.2907801418439716,net_outflow_shortage
36 St & Queens Blvd,123,40.74408,-73.92901,97,220,-26,26,-0.1181818181818181,net_outflow_shortage
37 Ave & 106 St,39,40.75397,-73.862,41,80,2,2,0.025,net_inflow_accumulation
37 Ave & 113 St,35,40.75475,-73.8549,50,85,15,15,0.1764705882352941,net_inflow_accumulation
37 Ave & 35 St,249,40.7531106,-73.9279917,237,486,-12,12,-0.0246913580246913,net_outflow_shortage
