station_name,start_rides,station_lat,station_lng,end_rides,total_activity,net_inflow,abs_net_inflow,imbalance_ratio,imbalance_type
20 Ave & 38 St,924,40.777112,-73.902382,928,1852,4,4,0.0021598272138228,net_inflow_accumulation
20 Ave & 42 St,389,40.775415,-73.900063,392,781,3,3,0.0038412291933418,net_inflow_accumulation
20 Ave & 48 St,258,40.772899,-73.896849,259,517,1,1,0.0019342359767891,net_inflow_accumulation
20 Ave & Shore Blvd,182,40.785994,-73.915098,197,379,15,15,0.0395778364116095,net_inflow_accumulation
21 Ave & 80 St,282,40.770888,-73.889914,282,564,0,0,0.0,balanced
21 Ave & Crescent St,1522,40.780478,-73.912212,1496,3018,-26,26,-0.0086149768058316,net_outflow_shortage
21 Ave & Shore Blvd,668,40.783956,-73.916894,685,1353,17,17,0.0125646711012564,net_inflow_accumulation
21 St & 21 Ave,1088,40.782465,-73.914527,1064,2152,-24,24,-0.0111524163568773,net_outflow_shortage
21 St & 23 Ave,723,40.778557,-73.919046,709,1432,-14,14,-0.0097765363128491,net_outflow_shortage
21 St & 31 Dr,1414,40.7659,-73.930819,1433,2847,19,19,0.0066736916051984,net_inflow_accumulation
21 St & 36 Ave,761,40.7601853,-73.9362726,768,1529,7,7,0.0045781556572923,net_inflow_accumulation
21 St & 38 Ave,464,40.7576314,-73.9391224,458,922,-6,6,-0.0065075921908893,net_outflow_shortage
21 St & 4 Ave,1309,40.662584,-73.995554,1320,2629,11,11,0.00418410041841,net_inflow_accumulation
21 St & 43 Ave,1215,40.75052534,-73.94594845,1203,2418,-12,12,-0.0049627791563275,net_outflow_shortage
21 St & Hoyt Ave S,2310,40.774645,-73.923706,2322,4632,12,12,0.0025906735751295,net_inflow_accumulation
21 St & Queens Plaza North,1946,40.75325964,-73.94335788,1932,3878,-14,14,-0.003610108303249,net_outflow_shortage
23 Ave & 27 St,857,40.776165,-73.9153175,861,1718,4,4,0.0023282887077997,net_inflow_accumulation
23 Ave & 31 St,1856,40.77423301703027,-73.91274864321404,1851,3707,-5,5,-0.0013487995683841,net_outflow_shortage
23 Ave & 83 St,178,40.76646,-73.88674,183,361,5,5,0.0138504155124653,net_inflow_accumulation
23 Rd & 31 St,519,40.77336750284339,-73.91382560133934,520,1039,1,1,0.0009624639076034,net_inflow_accumulation
23 St & 3 Ave,244,40.662611,-73.998623,246,490,2,2,0.0040816326530612,net_inflow_accumulation
23 St & 31 Ave,1163,40.76663971723091,-73.9286595582962,1149,2312,-14,14,-0.0060553633217993,net_outflow_shortage
24 Ave & 26 St,964,40.774591,-73.918544,973,1937,9,9,0.0046463603510583,net_inflow_accumulation
24 Ave & 29 St,1128,40.7729,-73.916142,1138,2266,10,10,0.0044130626654898,net_inflow_accumulation
24 Ave & 87 St,119,40.7654,-73.88256,112,231,-7,7,-0.0303030303030303,net_outflow_shortage
24 Ave & 92 St,130,40.76589,-73.87789,125,255,-5,5,-0.0196078431372549,net_outflow_shortage
24 St & 38 Ave,992,40.756351,-73.936515,980,1972,-12,12,-0.0060851926977687,net_outflow_shortage
24 St & 41 Ave,941,40.752474,-73.939991,919,1860,-22,22,-0.0118279569892473,net_outflow_shortage
24 St & 5 Ave,985,40.659555,-73.995068,990,1975,5,5,0.0025316455696202,net_inflow_accumulation
25 Ave & 41 St,1809,40.767666,-73.910963,1822,3631,13,13,0.0035802809143486,net_inflow_accumulation
25 Ave & 85 St,299,40.76328,-73.88404,304,603,5,5,0.0082918739635157,net_inflow_accumulation
25 Ave & 96 St,122,40.76447,-73.87369,126,248,4,4,0.0161290322580645,net_inflow_accumulation
26 Ave & 2 St,790,40.77684387,-73.93463418,794,1584,4,4,0.0025252525252525,net_inflow_accumulation
27 Ave & 3 St,560,40.77485,-73.9342,566,1126,6,6,0.0053285968028419,net_inflow_accumulation
27 Ave & 9 St,740,40.7739825,-73.9309134,685,1425,-55,55,-0.0385964912280701,net_outflow_shortage
27 St & Hunter St,3594,40.7485,-73.941275,3563,7157,-31,31,-0.0043314237809137,net_outflow_shortage
28 Ave & 35 St,1577,40.7671,-73.9169858,1547,3124,-30,30,-0.0096030729833546,net_outflow_shortage
28 Ave & 44 St,1187,40.76408932350688,-73.91065120697021,1201,2388,14,14,0.0058626465661641,net_inflow_accumulation
28 St & 36 Ave,1223,40.757186,-73.932719,1192,2415,-31,31,-0.0128364389233954,net_outflow_shortage
29 St & 40 Ave,296,40.75217,-73.93588,301,597,5,5,0.0083752093802345,net_inflow_accumulation
29 St & 5 Ave,356,40.656986,-73.998194,358,714,2,2,0.0028011204481792,net_inflow_accumulation
29 St & Skillman Ave,311,40.744831,-73.938411,307,618,-4,4,-0.0064724919093851,net_outflow_shortage
3 Ave & 14 St,951,40.6685455,-73.99333264,956,1907,5,5,0.0026219192448872,net_inflow_accumulation
3 Ave & 17 St,215,40.666168,-73.995549,215,430,0,0,0.0,balanced
3 Ave & Carroll St,1329,40.677027,-73.9865,1340,2669,11,11,0.0041213937804421,net_inflow_accumulation
3 Ave & E 100 St,1508,40.7877214,-73.94728331,1487,2995,-21,21,-0.0070116861435726,net_outflow_shortage
3 Ave & E 109 St,1285,40.79338,-73.94329,1299,2584,14,14,0.0054179566563467,net_inflow_accumulation
3 Ave & E 112 St,1201,40.795508,-73.941606,1211,2412,10,10,0.0041459369817578,net_inflow_accumulation
3 Ave & E 163 St,664,40.823872,-73.908699,665,1329,1,1,0.000752445447705,net_inflow_accumulation
3 Ave & E 169 St,958,40.832678,-73.905158,944,1902,-14,14,-0.0073606729758149,net_outflow_shortage
3 Ave & E 170 St,696,40.834857,-73.903743,689,1385,-7,7,-0.0050541516245487,net_outflow_shortage
3 Ave & E 172 St,389,40.839586,-73.900277,406,795,17,17,0.0213836477987421,net_inflow_accumulation
3 Ave & E 174 St,236,40.84224,-73.8985,227,463,-9,9,-0.019438444924406,net_outflow_shortage
3 Ave & E 189 St,630,40.85985,-73.89135,650,1280,20,20,0.015625,net_inflow_accumulation
3 Ave & E 62 St,4861,40.76313,-73.96527,4844,9705,-17,17,-0.0017516743946419,net_outflow_shortage
3 Ave & E 71 St,3346,40.76879,-73.9614,3029,6375,-317,317,-0.0497254901960784,net_outflow_shortage
